tStartMs,180
dDurationMs,6660
segs,"[{'utf8': 'The Earth is a gigantic ball of semi-molten rock,\xa0\nwith a heart of iron as hot as the surface of the\xa0\xa0'}]"
tStartMs,6840
dDurationMs,5220
segs,[{'utf8': 'Sun. Titanic amounts of heat left over from its\xa0\nbirth and the radioactive decay of trillions of\xa0\xa0'}]
tStartMs,12060
dDurationMs,6000
segs,[{'utf8': 'tons of radioactive elements find no escape\xa0\nbut up. Currents of rock spanning thousands\xa0\xa0'}]
tStartMs,18060
dDurationMs,6120
segs,[{'utf8': 'of kilometers carry this energy to the surface.\xa0\nEarth’s crust is the only thing in their way.\xa0\xa0'}]
tStartMs,24180
dDurationMs,6900
segs,"[{'utf8': 'It feels solid to us, but it is only a fragile\xa0\nbarrier, an apple skin around a flaming behemoth.\xa0\xa0'}]"
tStartMs,31740
dDurationMs,4740
segs,[{'utf8': 'True apocalypses can break through\xa0\nand unleash eruptions tens of times\xa0\xa0'}]
tStartMs,36480
dDurationMs,4740
segs,"[{'utf8': 'more powerful than all of our nuclear weapons\xa0\ncombined, subjecting the climate to centuries\xa0\xa0'}]"
tStartMs,41220
dDurationMs,5340
segs,"[{'utf8': 'worth of change in a single year, while\xa0\ndrowning continents in toxic ash and gases:\xa0\xa0'}]"
tStartMs,47160
dDurationMs,5940
segs,[{'utf8': 'supervolcanoes. How big can they get?\xa0\nAnd will they put an end to humanity?'}]
tStartMs,60840
dDurationMs,2640
segs,[{'utf8': 'Volcanoes'}]
tStartMs,64140
dDurationMs,4320
segs,"[{'utf8': 'There are many types of volcanos,\xa0\nfrom towering mountains to lava domes,\xa0\xa0'}]"
tStartMs,68460
dDurationMs,2460
segs,[{'utf8': 'but they have two main sources:'}]
tStartMs,70920
dDurationMs,5220
segs,"[{'utf8': 'The first is at the boundaries between tectonic\xa0\nplates, the pieces of the crust that cover the\xa0\xa0'}]"
tStartMs,76140
dDurationMs,5460
segs,"[{'utf8': 'Earth like a giant jigsaw puzzle. There are seven\xa0\nmajor tectonic plates and dozens of smaller ones,\xa0\xa0'}]"
tStartMs,81600
dDurationMs,5160
segs,"[{'utf8': 'drifting against each other at up\xa0\nto 15 cm per year. This sounds slow,\xa0\xa0'}]"
tStartMs,86760
dDurationMs,4920
segs,[{'utf8': 'but on geological timescales it is a\xa0\ntitanic struggle over who gets to stay\xa0\xa0'}]
tStartMs,91680
dDurationMs,4800
segs,[{'utf8': 'on the surface. The winning plate crumples\xa0\ninto a new mountain range while the loser\xa0\xa0'}]
tStartMs,96480
dDurationMs,6360
segs,"[{'utf8': 'is shoved underneath, into an ocean of\xa0\nhot rock at1300°Ct: The asthenosphere.'}]"
tStartMs,103500
dDurationMs,3060
segs,"[{'utf8': 'The temperature here is enough\xa0\nto melt rock into a liquid,\xa0\xa0'}]"
tStartMs,106560
dDurationMs,4560
segs,[{'utf8': 'but the insane pressures of all that\xa0\nmass keep it a superheated solid.'}]
tStartMs,111120
dDurationMs,4440
segs,[{'utf8': 'Tectonic plates are usually in contact\xa0\nwith water for thousands of years and\xa0\xa0'}]
tStartMs,115560
dDurationMs,3600
segs,"[{'utf8': 'absorb some of it. When they are\xa0\nsubmerged into the hot underworld,\xa0\xa0'}]"
tStartMs,119160
dDurationMs,5220
segs,[{'utf8': 'this water triggers chemical transformations\xa0\nthat allow tiny portions to melt into magma.\xa0\xa0'}]
tStartMs,124980
dDurationMs,5280
segs,"[{'utf8': 'Liquid magma is less dense than solid rock,\xa0\nso it rises to the surface in furious bubbles\xa0\xa0'}]"
tStartMs,130260
dDurationMs,5820
segs,"[{'utf8': 'that accumulate in sponge-like reservoirs right\xa0\nunder the crust. If enough magma accumulates,\xa0\xa0'}]"
tStartMs,136080
dDurationMs,6660
segs,[{'utf8': 'it becomes powerful enough to pierce through the\xa0\ncrust – which we experience as volcanoes. This\xa0\xa0'}]
tStartMs,142740
dDurationMs,4860
segs,"[{'utf8': 'happens under the winning plate, like a revenge\xa0\nattack by the loser before it is erased forever.'}]"
tStartMs,148380
dDurationMs,6000
segs,[{'utf8': 'The second main source of volcanoes are thought to\xa0\nbe mantle plumes. These are columns of abnormally\xa0\xa0'}]
tStartMs,154380
dDurationMs,5760
segs,[{'utf8': 'hot rock that rise all the way from the planet’s\xa0\ncore-mantle boundary to the surface. Much less is\xa0\xa0'}]
tStartMs,160140
dDurationMs,4560
segs,"[{'utf8': 'known about them, but in a way it is as if the\xa0\nEarth’s mantle has weather patterns and mantle\xa0\xa0'}]"
tStartMs,164700
dDurationMs,6000
segs,[{'utf8': 'plumes are a little like hot air rising to form\xa0\nstorm clouds. Storms hundreds of millions of\xa0\xa0'}]
tStartMs,170700
dDurationMs,4080
segs,"[{'utf8': 'years old, made of rock circulating at\xa0\na rate of a few millimetres per month.\xa0\xa0'}]"
tStartMs,175380
dDurationMs,4680
segs,"[{'utf8': 'They don’t care about the motion of tectonic\xa0\nplates, so they can break the crust to create\xa0\xa0'}]"
tStartMs,180060
dDurationMs,5100
segs,[{'utf8': 'volcanoes in the middle of nowhere that stubbornly\xa0\nstay active as the crust shifts around them.'}]
tStartMs,185820
dDurationMs,1500
segs,[{'utf8': 'The volcanic boom-meter'}]
tStartMs,187920
dDurationMs,4440
segs,[{'utf8': 'Scientists love to put big booms on a\xa0\nscale and came up with a logarithmic\xa0\xa0'}]
tStartMs,192360
dDurationMs,5580
segs,"[{'utf8': 'scale that measures the volume ejected during\xa0\nan eruption: The Volcanic Explosivity Index,\xa0\xa0'}]"
tStartMs,197940
dDurationMs,6060
segs,"[{'utf8': 'or VEI. Simply put, it starts really\xa0\nsmall and gets very big very quickly.'}]"
tStartMs,204900
dDurationMs,5640
segs,[{'utf8': 'A VEI 2 eruption would fill four hundred\xa0\nfull Olympic swimming pools with lava.\xa0\xa0'}]
tStartMs,210540
dDurationMs,2040
segs,[{'utf8': 'We have around 10 of these per year.'}]
tStartMs,213180
dDurationMs,3600
segs,"[{'utf8': 'At VEI 3 we already see devastating effects,\xa0\xa0'}]"
tStartMs,216780
dDurationMs,5700
segs,[{'utf8': 'like the eruption of the Semeru volcano in 2021\xa0\nthat destroyed thousands of homes in Indonesia.'}]
tStartMs,223080
dDurationMs,6600
segs,"[{'utf8': 'At VEI 5, we see catastrophic amounts of\xa0\nmaterials, cubic kilometers of debris, equivalent\xa0\xa0'}]"
tStartMs,229680
dDurationMs,5940
segs,[{'utf8': 'to an entire lake of molten rock blasted into\xa0\nthe air. Like the 2022 Hunga Tonga-Hunga Ha’apai\xa0\xa0'}]
tStartMs,235620
